date,bag,sample,type,hardening,temperature,0,1,2,3,4
20240724,36,B1,blank,control,18C,28733,29960,30769,31121,32472
20240724,36,1,sample,control,18C,28168,28546,75160,139215,211385
20240724,36,2,sample,control,18C,28266,28997,45676,96420,161089
20240724,36,3,sample,control,18C,27719,90019,158552,232575,291023
20240724,36,4,sample,control,18C,28527,37248,45247,56558,64565
20240724,36,5,sample,control,18C,27336,37121,47573,59004,65072
20240724,36,21,sample,control,42C,28118,101405,149263,180579,202055
20240724,36,22,sample,control,42C,27041,44928,54561,59825,71551
20240724,36,23,sample,control,42C,27204,169174,208580,214501,266151
20240724,36,24,sample,control,42C,28012,46534,55761,61099,93437
20240724,36,25,sample,control,42C,28133,49878,60583,86877,90772
20240724,36,B4,blank,control,42C,27236,32761,31600,32633,32128
20240724,36,B2,blank,control,18C,28093,27850,28466,28691,28669
20240724,36,6,sample,control,18C,29071,30684,55587,72212,80192
20240724,36,7,sample,control,18C,28495,29258,47713,58072,66530
20240724,36,8,sample,control,18C,28305,67390,133736,193430,210765
20240724,36,9,sample,control,18C,27778,35772,44305,51061,59583
20240724,36,10,sample,control,18C,28037,39887,53783,71225,78581
20240724,36,26,sample,control,42C,28257,113061,142108,164586,180532
20240724,36,27,sample,control,42C,28612,48823,62021,67114,70166
20240724,36,28,sample,control,42C,27921,53510,67566,80402,104740
20240724,36,29,sample,control,42C,28738,50019,65404,71072,101480
20240724,36,30,sample,control,42C,28352,69889,102004,126418,131891
20240724,36,B5,blank,control,42C,27793,31448,30228,30511,30440
20240724,36,B3,blank,control,18C,27472,26677,28576,28576,28377
20240724,36,11,sample,control,18C,28409,51661,98550,151588,195078
20240724,36,12,sample,control,18C,28294,42191,49233,60580,120793
20240724,36,13,sample,control,18C,28438,60655,117008,171108,235775
20240724,36,14,sample,control,18C,28445,57980,106892,168343,218591
20240724,36,15,sample,control,18C,28408,49286,91981,148504,197979
20240724,36,31,sample,control,42C,28044,45339,54113,57692,58181
20240724,36,32,sample,control,42C,27605,46750,57101,62966,84062
20240724,36,33,sample,control,42C,28004,49228,63014,98366,122311
20240724,36,34,sample,control,42C,28442,46660,59119,64547,67017
20240724,36,35,sample,control,42C,27778,82582,93976,101220,103766
20240724,36,B6,blank,control,42C,27881,28729,28382,28560,28010
20240724,36,16,sample,control,18C,28555,36827,46136,127043,211165
20240724,36,17,sample,control,18C,28782,58726,109836,167661,213489
20240724,36,18,sample,control,18C,28284,34889,45498,52684,63715
20240724,36,19,sample,control,18C,28234,36402,44785,54305,60238
20240724,36,20,sample,control,18C,28427,35786,51134,92754,137591
20240724,36,36,sample,control,42C,28391,42468,50956,76543,93137
20240724,36,37,sample,control,42C,28278,94329,122563,148100,163865
20240724,36,38,sample,control,42C,28232,45154,55729,70627,73136
20240724,36,39,sample,control,42C,28100,79569,102919,123244,124149
20240724,36,40,sample,control,42C,27900,51268,63227,82237,99081
20240725,66,B1,blank,fresh-water,18C,27191,28171,28510,29491,28174
20240725,66,1,sample,fresh-water,18C,27835,50348,89515,137767,192289
20240725,66,2,sample,fresh-water,18C,28450,53393,59241,92082,120932
20240725,66,3,sample,fresh-water,18C,28191,65574,172305,269722,314902
20240725,66,4,sample,fresh-water,18C,28404,30580,40271,47118,54488
20240725,66,5,sample,fresh-water,18C,27502,55296,140803,216906,261279
20240725,66,21,sample,fresh-water,42C,27779,44417,61776,67998,75553
20240725,66,22,sample,fresh-water,42C,27464,41456,53958,88951,147754
20240725,66,23,sample,fresh-water,42C,27927,67912,89550,109049,123798
20240725,66,24,sample,fresh-water,42C,27527,41796,54932,69895,81728
20240725,66,25,sample,fresh-water,42C,27405,44050,61661,67607,73743
20240725,66,B4,blank,fresh-water,42C,26851,28059,28985,29126,29739
20240725,66,B2,blank,fresh-water,18C,28356,28781,29036,28870,28429
20240725,66,6,sample,fresh-water,18C,28305,41551,64250,84031,110717
20240725,66,7,sample,fresh-water,18C,27991,37141,106616,181326,257258
20240725,66,8,sample,fresh-water,18C,26853,45264,70458,102818,135939
20240725,66,9,sample,fresh-water,18C,27765,44404,57267,77827,103337
20240725,66,10,sample,fresh-water,18C,28107,32237,51800,120184,230070
20240725,66,26,sample,fresh-water,42C,27403,76647,114425,139880,162533
20240725,66,27,sample,fresh-water,42C,28685,89529,126497,152648,176579
20240725,66,28,sample,fresh-water,42C,28584,104883,163566,183390,208617
20240725,66,29,sample,fresh-water,42C,28491,85289,120034,136519,158276
20240725,66,30,sample,fresh-water,42C,28913,93042,152278,260743,322064
20240725,66,B5,blank,fresh-water,42C,26934,28042,28915,28562,28101
20240725,66,B3,blank,fresh-water,18C,27700,28244,28718,28566,28423
20240725,66,11,sample,fresh-water,18C,28487,51034,87168,120786,164973
20240725,66,12,sample,fresh-water,18C,28420,54218,95044,142696,196624
20240725,66,13,sample,fresh-water,18C,28507,48148,93865,142074,194125
20240725,66,14,sample,fresh-water,18C,28091,49056,99616,151896,201570
20240725,66,15,sample,fresh-water,18C,28714,40894,73108,101602,138676
20240725,66,31,sample,fresh-water,42C,28178,41684,54091,64625,66859
20240725,66,32,sample,fresh-water,42C,27757,59859,81058,94412,106482
20240725,66,33,sample,fresh-water,42C,28408,50491,71496,96334,102391
20240725,66,34,sample,fresh-water,42C,28679,41919,58939,67244,69172
20240725,66,35,sample,fresh-water,42C,28275,43445,57642,64835,101967
20240725,66,B6,blank,fresh-water,42C,27420,28717,29267,28969,28798
20240725,66,16,sample,fresh-water,18C,28460,61897,142191,206996,201028
20240725,66,17,sample,fresh-water,18C,28525,49807,103980,157966,229140
20240725,66,18,sample,fresh-water,18C,28536,43025,68634,73993,84100
20240725,66,19,sample,fresh-water,18C,28308,29321,39863,45725,71715
20240725,66,20,sample,fresh-water,18C,28528,42416,91864,142710,182977
20240725,66,36,sample,fresh-water,42C,28208,43021,59322,66699,70209
20240725,66,37,sample,fresh-water,42C,28676,60714,81425,98058,113542
20240725,66,38,sample,fresh-water,42C,28320,40452,55312,62201,95426
20240725,66,39,sample,fresh-water,42C,27416,44058,65096,73664,79704
20240725,66,40,sample,fresh-water,42C,27885,60659,87396,101649,118220
20240729,37,B1,blank,control,18C,27650,27794,27870,27989,27738
20240729,37,1,sample,control,18C,28151,42144,106651,180377,246176
20240729,37,2,sample,control,18C,28285,35426,48181,139521,182473
20240729,37,3,sample,control,18C,27576,75411,113194,173028,229089
20240729,37,4,sample,control,18C,27662,46898,71410,105905,143493
20240729,37,5,sample,control,18C,27654,60652,143253,232032,293046
20240729,37,21,sample,control,42C,27859,108968,149845,190144,217851
20240729,37,22,sample,control,42C,28111,39232,50260,76815,103202
20240729,37,23,sample,control,42C,28432,103180,152225,163803,175981
20240729,37,24,sample,control,42C,27928,92341,116472,152526,174329
20240729,37,25,sample,control,42C,27729,37726,45319,73297,93385
20240729,37,B4,blank,control,42C,27396,28380,28734,28942,28987
20240729,37,B2,blank,control,18C,27656,28365,28763,28537,29415
20240729,37,6,sample,control,18C,28273,45196,124236,205949,298260
20240729,37,7,sample,control,18C,27924,39197,73911,112745,218820
20240729,37,8,sample,control,18C,27029,33531,39187,49274,55627
20240729,37,9,sample,control,18C,27971,36550,69687,107874,146307
20240729,37,10,sample,control,18C,28189,59432,88467,129987,159047
20240729,37,26,sample,control,42C,28153,38974,47434,64122,65512
20240729,37,27,sample,control,42C,28683,38474,48029,54579,83159
20240729,37,28,sample,control,42C,28947,101372,166384,193207,211830
20240729,37,29,sample,control,42C,28959,42627,54670,107997,125931
20240729,37,30,sample,control,42C,28338,36126,42338,74275,89538
20240729,37,B5,blank,control,42C,27791,27331,27216,27182,26776
20240729,37,B3,blank,control,18C,27583,27845,27661,27779,27872
20240729,37,11,sample,control,18C,28187,34011,40471,47625,52309
20240729,37,12,sample,control,18C,28258,57033,109039,153075,212301
20240729,37,13,sample,control,18C,28113,67845,138488,215894,275259
20240729,37,14,sample,control,18C,28842,56500,104662,172827,203583
20240729,37,15,sample,control,18C,28079,40889,53680,80940,103312
20240729,37,31,sample,control,42C,28089,39364,49910,113473,134560
20240729,37,32,sample,control,42C,27835,86129,113715,140367,157691
20240729,37,33,sample,control,42C,28697,42313,56267,101835,114569
20240729,37,34,sample,control,42C,28740,80490,104102,128115,141959
20240729,37,35,sample,control,42C,28188,34584,38591,42228,69271
20240729,37,B6,blank,control,42C,27870,28210,28472,28496,28339
20240729,37,16,sample,control,18C,28503,40994,80963,124489,160554
20240729,37,17,sample,control,18C,28686,61312,81664,121498,175482
20240729,37,18,sample,control,18C,28302,30818,37647,54360,81894
20240729,37,19,sample,control,18C,27912,56264,113069,168257,234798
20240729,37,20,sample,control,18C,28556,109930,267653,412330,456840
20240729,37,36,sample,control,42C,29846,48470,62381,71494,74063
20240729,37,37,sample,control,42C,28476,86423,118927,152625,166778
20240729,37,38,sample,control,42C,29572,46018,60206,69534,88261
20240729,37,39,sample,control,42C,26847,37619,47815,53082,62286
20240729,37,40,sample,control,42C,28331,34592,39813,42881,45216
20240731,30,B1,blank,temperature,18C,23904,24759,24561,24618,24721
20240731,30,1,sample,temperature,18C,24877,54002,100100,151139,207624
20240731,30,2,sample,temperature,18C,24749,40371,58704,74597,103997
20240731,30,3,sample,temperature,18C,24743,29612,33505,38551,45304
20240731,30,4,sample,temperature,18C,24901,43276,77432,120406,175066
20240731,30,5,sample,temperature,18C,24274,49270,88884,148588,199696
20240731,30,21,sample,temperature,42C,25052,59488,84255,110292,133864
20240731,30,22,sample,temperature,42C,24895,36630,54869,64813,76031
20240731,30,23,sample,temperature,42C,24942,55304,78457,96810,114795
20240731,30,24,sample,temperature,42C,24780,48000,73227,92455,111404
20240731,30,25,sample,temperature,42C,24492,50137,67092,79419,92187
20240731,30,B4,blank,temperature,42C,23736,25589,25986,25364,25471
20240731,30,B2,blank,temperature,18C,24846,25184,25229,24995,25435
20240731,30,6,sample,temperature,18C,25388,52578,102735,153837,211579
20240731,30,7,sample,temperature,18C,25200,44804,73192,107069,147161
20240731,30,8,sample,temperature,18C,24421,31160,44384,49008,60767
20240731,30,9,sample,temperature,18C,25255,52249,83185,117544,162402
20240731,30,10,sample,temperature,18C,25289,27646,40224,49055,55537
20240731,30,26,sample,temperature,42C,25334,74409,83876,115400,133119
20240731,30,27,sample,temperature,42C,25375,48087,64748,80670,93022
20240731,30,28,sample,temperature,42C,25360,80270,103926,123305,139941
20240731,30,29,sample,temperature,42C,26079,64856,93427,117614,139219
20240731,30,30,sample,temperature,42C,25290,66516,78013,84768,93270
20240731,30,B5,blank,temperature,42C,23790,24610,24829,24162,24625
20240731,30,B3,blank,temperature,18C,24473,25275,24832,24770,25220
20240731,30,11,sample,temperature,18C,25338,48519,87057,130603,188312
20240731,30,12,sample,temperature,18C,25526,32695,38662,42768,51370
20240731,30,13,sample,temperature,18C,25301,30572,34496,39674,45124
20240731,30,14,sample,temperature,18C,25536,72230,161530,231032,309496
20240731,30,15,sample,temperature,18C,25548,27352,36597,42920,58482
20240731,30,31,sample,temperature,42C,25235,56359,76522,86046,105516
20240731,30,32,sample,temperature,42C,25112,42923,55833,63169,73080
20240731,30,33,sample,temperature,42C,25254,106957,124587,138182,163585
20240731,30,34,sample,temperature,42C,25645,41199,67613,87075,109999
20240731,30,35,sample,temperature,42C,25081,98629,122261,141370,177318
20240731,30,B6,blank,temperature,42C,24799,25855,25983,25657,25901
20240731,30,16,sample,temperature,18C,25074,50577,94799,144996,200992
20240731,30,17,sample,temperature,18C,25426,45288,75057,106481,147268
20240731,30,18,sample,temperature,18C,25080,41718,78494,111631,147974
20240731,30,19,sample,temperature,18C,25193,50329,95146,130789,192358
20240731,30,20,sample,temperature,18C,26961,43505,72560,104623,150238
20240731,30,36,sample,temperature,42C,25491,38077,46480,52128,60001
20240731,30,37,sample,temperature,42C,25339,38733,48355,53949,60036
20240731,30,38,sample,temperature,42C,25344,114685,152071,179353,207188
20240731,30,39,sample,temperature,42C,24553,69234,116043,137374,146140
20240731,30,40,sample,temperature,42C,25218,63687,84320,102105,117171
20240801,75,B1,blank,fresh-water-temperature,18C,23806,23542,23975,24561,27851
20240801,75,1,sample,fresh-water-temperature,18C,24825,45543,84163,121078,167424
20240801,75,2,sample,fresh-water-temperature,18C,24364,45689,102183,147488,215681
20240801,75,3,sample,fresh-water-temperature,18C,24723,55310,131999,207673,278823
20240801,75,4,sample,fresh-water-temperature,18C,24379,28234,78763,108997,150114
20240801,75,5,sample,fresh-water-temperature,18C,23560,49516,110975,171530,252189
20240801,75,21,sample,fresh-water-temperature,42C,24138,31124,38253,43022,48102
20240801,75,22,sample,fresh-water-temperature,42C,24772,53633,76625,88318,96220
20240801,75,23,sample,fresh-water-temperature,42C,24739,34432,45546,51397,60887
20240801,75,24,sample,fresh-water-temperature,42C,24042,32475,39576,51364,66535
20240801,75,25,sample,fresh-water-temperature,42C,24482,33743,41033,47323,55239
20240801,75,B4,blank,fresh-water-temperature,42C,23196,23081,24424,25124,26218
20240801,75,B2,blank,fresh-water-temperature,18C,24409,24372,24748,25414,25812
20240801,75,6,sample,fresh-water-temperature,18C,24732,40266,64983,92901,119366
20240801,75,7,sample,fresh-water-temperature,18C,24403,38396,63805,91825,131262
20240801,75,8,sample,fresh-water-temperature,18C,24131,47393,94291,144076,203158
20240801,75,9,sample,fresh-water-temperature,18C,25058,39500,70611,96216,137285
20240801,75,10,sample,fresh-water-temperature,18C,25175,26691,36490,42356,52303
20240801,75,26,sample,fresh-water-temperature,42C,24945,35455,41770,48581,53868
20240801,75,27,sample,fresh-water-temperature,42C,25146,35048,43553,49171,56066
20240801,75,28,sample,fresh-water-temperature,42C,25303,37782,48878,57187,72981
20240801,75,29,sample,fresh-water-temperature,42C,25102,32777,39340,44763,59607
20240801,75,30,sample,fresh-water-temperature,42C,24796,34343,43270,59758,73891
20240801,75,B5,blank,fresh-water-temperature,42C,23495,23297,23827,24935,25177
20240801,75,B3,blank,fresh-water-temperature,18C,24409,24148,23933,24911,26008
20240801,75,11,sample,fresh-water-temperature,18C,25269,39397,82908,133067,198279
20240801,75,12,sample,fresh-water-temperature,18C,25283,61176,131684,202785,281127
20240801,75,13,sample,fresh-water-temperature,18C,24583,55704,107824,162443,224236
20240801,75,14,sample,fresh-water-temperature,18C,25297,45142,83606,122161,173875
20240801,75,15,sample,fresh-water-temperature,18C,25071,42386,76128,126640,154393
20240801,75,31,sample,fresh-water-temperature,42C,24707,33733,41935,53818,73662
20240801,75,32,sample,fresh-water-temperature,42C,24505,34369,44400,50169,57347
20240801,75,33,sample,fresh-water-temperature,42C,24635,37059,48415,55651,64308
20240801,75,34,sample,fresh-water-temperature,42C,25053,34361,44030,59835,64366
20240801,75,35,sample,fresh-water-temperature,42C,24936,68870,94940,114728,138244
20240801,75,B6,blank,fresh-water-temperature,42C,24463,24340,25117,26257,27258
20240801,75,16,sample,fresh-water-temperature,18C,25096,31675,58612,87399,114774
20240801,75,17,sample,fresh-water-temperature,18C,25291,37949,82848,121630,144163
20240801,75,18,sample,fresh-water-temperature,18C,24455,74254,193100,284749,385404
20240801,75,19,sample,fresh-water-temperature,18C,24910,46153,86302,130712,187136
20240801,75,20,sample,fresh-water-temperature,18C,25281,43245,119397,191903,283274
20240801,75,36,sample,fresh-water-temperature,42C,25422,55259,71989,86124,96932
20240801,75,37,sample,fresh-water-temperature,42C,24743,51235,66440,77045,88392
20240801,75,38,sample,fresh-water-temperature,42C,25025,62504,103367,127420,153811
20240801,75,39,sample,fresh-water-temperature,42C,24339,69724,99545,122686,145200
20240801,75,40,sample,fresh-water-temperature,42C,24760,38663,50354,83563,132484
20240805,50,B1,blank,immune,18C,26578,27151,27023,27389,27870
20240805,50,1,sample,immune,18C,27014,70416,135949,212303,265836
20240805,50,2,sample,immune,18C,28721,32537,37356,41480,45657
20240805,50,3,sample,immune,18C,28115,60503,106826,168831,230698
20240805,50,4,sample,immune,18C,28848,43814,73543,93850,131303
20240805,50,5,sample,immune,18C,28258,57486,99911,152644,191659
20240805,50,21,sample,immune,42C,27967,39959,47454,52295,60068
20240805,50,22,sample,immune,42C,27814,38417,44865,47360,58647
20240805,50,23,sample,immune,42C,27475,84048,90160,99798,102587
20240805,50,24,sample,immune,42C,28130,39967,47028,51136,56160
20240805,50,25,sample,immune,42C,27274,80553,108516,128960,139821
20240805,50,B4,blank,immune,42C,27096,28150,28223,28576,30807
20240805,50,B2,blank,immune,18C,27869,27644,28071,28059,28375
20240805,50,6,sample,immune,18C,28181,67413,136257,212516,269097
20240805,50,7,sample,immune,18C,27129,51030,85609,127816,169804
20240805,50,8,sample,immune,18C,28063,30740,42908,57599,62871
20240805,50,9,sample,immune,18C,28910,60051,109817,163825,207431
20240805,50,10,sample,immune,18C,28590,79328,156872,239722,294866
20240805,50,26,sample,immune,42C,26792,62969,73820,78223,84247
20240805,50,27,sample,immune,42C,28453,41762,49217,85543,99784
20240805,50,28,sample,immune,42C,28124,97363,121245,142977,154515
