trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
1,blue,control,0.2609119200188291,5,metabolism_per_area_mm2_measurement
10,blue,control,0.7220730575249938,5,metabolism_per_area_mm2_measurement
11,blue,control,0.37104429607182976,5,metabolism_per_area_mm2_measurement
12,blue,control,0.1569370546052228,5,metabolism_per_area_mm2_measurement
13,blue,control,0.14341122208284268,5,metabolism_per_area_mm2_measurement
14,blue,control,0.2725251020027564,5,metabolism_per_area_mm2_measurement
15,blue,control,0.5107563979430001,5,metabolism_per_area_mm2_measurement
16,blue,control,0.2750229835442064,5,metabolism_per_area_mm2_measurement
17,blue,control,0.3938827450433644,5,metabolism_per_area_mm2_measurement
18,blue,control,0.29340696078627143,5,metabolism_per_area_mm2_measurement
19,blue,control,0.17350846180343743,5,metabolism_per_area_mm2_measurement
2,blue,control,0.24820801150467842,5,metabolism_per_area_mm2_measurement
20,blue,control,0.5394714514489011,5,metabolism_per_area_mm2_measurement
21,tweed,control,0.4357785365902769,5,metabolism_per_area_mm2_measurement
22,tweed,control,0.49151479728274067,5,metabolism_per_area_mm2_measurement
23,tweed,control,0.3327256592856834,5,metabolism_per_area_mm2_measurement
24,tweed,control,0.3625914168895928,5,metabolism_per_area_mm2_measurement
25,tweed,control,0.09077883887818823,5,metabolism_per_area_mm2_measurement
26,tweed,control,0.38604046929845653,5,metabolism_per_area_mm2_measurement
27,tweed,control,0.25295765942056536,5,metabolism_per_area_mm2_measurement
28,tweed,control,0.35628427373427124,5,metabolism_per_area_mm2_measurement
29,tweed,control,0.23434156020602578,5,metabolism_per_area_mm2_measurement
3,blue,control,0.6682622947260071,5,metabolism_per_area_mm2_measurement
30,tweed,control,0.432331417952045,5,metabolism_per_area_mm2_measurement
31,tweed,control,0.23906237463000535,5,metabolism_per_area_mm2_measurement
32,tweed,control,0.1101924128621779,5,metabolism_per_area_mm2_measurement
33,tweed,control,0.39249071479355063,5,metabolism_per_area_mm2_measurement
34,tweed,control,0.22969487129652752,5,metabolism_per_area_mm2_measurement
35,tweed,control,0.31246401461409856,5,metabolism_per_area_mm2_measurement
36,tweed,control,0.19599731229790585,5,metabolism_per_area_mm2_measurement
37,tweed,control,0.22821177700928216,5,metabolism_per_area_mm2_measurement
38,tweed,control,0.30336503951874416,5,metabolism_per_area_mm2_measurement
39,tweed,control,0.33055474312356,5,metabolism_per_area_mm2_measurement
4,blue,control,0.660162407071812,5,metabolism_per_area_mm2_measurement
40,tweed,control,0.3896794941526978,5,metabolism_per_area_mm2_measurement
41,blue,selected,0.2330726751277134,5,metabolism_per_area_mm2_measurement
42,blue,selected,0.4083912950353373,5,metabolism_per_area_mm2_measurement
43,blue,selected,0.15033642731667635,5,metabolism_per_area_mm2_measurement
44,blue,selected,0.5299169762240445,5,metabolism_per_area_mm2_measurement
45,blue,selected,0.3867282028136133,5,metabolism_per_area_mm2_measurement
46,blue,selected,0.23452814088095122,5,metabolism_per_area_mm2_measurement
47,blue,selected,0.39053999191103117,5,metabolism_per_area_mm2_measurement
48,blue,selected,0.1656008936051076,5,metabolism_per_area_mm2_measurement
49,blue,selected,0.4586649752539919,5,metabolism_per_area_mm2_measurement
5,blue,control,0.30867962938811117,5,metabolism_per_area_mm2_measurement
50,blue,selected,0.3539878845595457,5,metabolism_per_area_mm2_measurement
51,blue,selected,0.2957856987573694,5,metabolism_per_area_mm2_measurement
52,blue,selected,0.33700188975373163,5,metabolism_per_area_mm2_measurement
53,blue,selected,0.5418923007686283,5,metabolism_per_area_mm2_measurement
54,blue,selected,0.27292802410685457,5,metabolism_per_area_mm2_measurement
55,blue,selected,0.2924818737843582,5,metabolism_per_area_mm2_measurement
56,blue,selected,0.35303196426429284,5,metabolism_per_area_mm2_measurement
57,blue,selected,0.3598596250432965,5,metabolism_per_area_mm2_measurement
58,blue,selected,0.3925169962364869,5,metabolism_per_area_mm2_measurement
59,blue,selected,0.2120085731261494,5,metabolism_per_area_mm2_measurement
6,blue,control,0.2846003808602166,5,metabolism_per_area_mm2_measurement
60,blue,selected,0.2672229330873431,5,metabolism_per_area_mm2_measurement
61,tweed,selected,0.15089183181984558,5,metabolism_per_area_mm2_measurement
62,tweed,selected,0.22776598184143101,5,metabolism_per_area_mm2_measurement
63,tweed,selected,0.30261570791919107,5,metabolism_per_area_mm2_measurement
64,tweed,selected,0.18612857047974113,5,metabolism_per_area_mm2_measurement
65,tweed,selected,0.25745594089803076,5,metabolism_per_area_mm2_measurement
66,tweed,selected,0.24100004212515813,5,metabolism_per_area_mm2_measurement
67,tweed,selected,0.22198226543943464,5,metabolism_per_area_mm2_measurement
68,tweed,selected,0.2320052408723969,5,metabolism_per_area_mm2_measurement
69,tweed,selected,0.19328770134791343,5,metabolism_per_area_mm2_measurement
7,blue,control,0.32829719914238803,5,metabolism_per_area_mm2_measurement
70,tweed,selected,0.24112286039414346,5,metabolism_per_area_mm2_measurement
71,tweed,selected,0.3380131306795502,5,metabolism_per_area_mm2_measurement
72,tweed,selected,0.16548637976692024,5,metabolism_per_area_mm2_measurement
73,tweed,selected,0.1383364973779462,5,metabolism_per_area_mm2_measurement
74,tweed,selected,0.20155637425980724,5,metabolism_per_area_mm2_measurement
75,tweed,selected,0.18857860807358579,5,metabolism_per_area_mm2_measurement
76,tweed,selected,0.21380117323675793,5,metabolism_per_area_mm2_measurement
77,tweed,selected,0.20420726944154025,5,metabolism_per_area_mm2_measurement
78,tweed,selected,0.17735135524540344,5,metabolism_per_area_mm2_measurement
79,tweed,selected,0.254334561214456,5,metabolism_per_area_mm2_measurement
8,blue,control,0.16101593217850313,5,metabolism_per_area_mm2_measurement
80,tweed,selected,0.828129513338613,5,metabolism_per_area_mm2_measurement
9,blue,control,0.15653775322501035,5,metabolism_per_area_mm2_measurement
