experiment_dir,source_file,parse_ok,parse_error,n_wells,min_time_hr,max_time_hr,layout_status,duplicate_timepoints
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,TRUE,NA,24,0,0,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,TRUE,NA,24,0.5,0.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,TRUE,NA,24,1,1,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,TRUE,NA,24,2,2,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-red-T0.0.txt,TRUE,NA,24,0,0,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-red-T0.5.txt,TRUE,NA,24,0.5,0.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-red-T1.0.txt,TRUE,NA,24,1,1,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-red-T1.5.txt,TRUE,NA,24,1.5,1.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-red-T2.0.txt,TRUE,NA,24,2,2,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-blue-T0.0.txt,TRUE,NA,24,0,0,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-blue-T0.5.txt,TRUE,NA,24,0.5,0.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-blue-T1.0.txt,TRUE,NA,24,1,1,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-blue-T1.5.txt,TRUE,NA,24,1.5,1.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-blue-T2.0.txt,TRUE,NA,24,2,2,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-red-T0.0.txt,TRUE,NA,24,0,0,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-red-T0.5.txt,TRUE,NA,24,0.5,0.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-red-T1.0.txt,TRUE,NA,24,1,1,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-red-T1.5.txt,TRUE,NA,24,1.5,1.5,missing,TRUE
20260330-clam-40C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-S-red-T2.0.txt,TRUE,NA,24,2,2,missing,TRUE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-A-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-B-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-C-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-D-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-E-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260331-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260331-clam-36C-C-vs-S/plate-F-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T0.0.txt,TRUE,NA,24,0,0,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-G-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
