experiment_dir,source_file,parse_ok,parse_error,n_wells,min_time_hr,max_time_hr,layout_status,duplicate_timepoints
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-H-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-I-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-J-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-K-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T0.5.txt,TRUE,NA,12,0.5,0.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T1.5.txt,TRUE,NA,12,1.5,1.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T2.5.txt,TRUE,NA,12,2.5,2.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T3.5.txt,TRUE,NA,12,3.5,3.5,missing,FALSE
20260401-clam-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-36C-C-vs-S/plate-L-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-A-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-A-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-A-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-A-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-A-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-B-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-B-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-B-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-B-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-B-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-C-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-C-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-C-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-C-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-C-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-D-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-D-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-D-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-D-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-D-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-E-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-E-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-E-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-E-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-E-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-F-T0.0.txt,TRUE,NA,12,0,0,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-F-T1.0.txt,TRUE,NA,12,1,1,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-F-T2.0.txt,TRUE,NA,12,2,2,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-F-T3.0.txt,TRUE,NA,12,3,3,missing,FALSE
20260401-clam-Day2-36C-C-vs-S,/home/sam/gitrepos/RobertsLab/resazurin-assay-development/data/clam/20260401-clam-Day2-36C-C-vs-S/plate-F-T4.0.txt,TRUE,NA,12,4,4,missing,FALSE
