plate,well,oyster,length.mm,R.mmol.min,R.mmol.mm.min,R.umol.mm.min
plate1,A1,1-A1,7.4399999999999995,-6.598376838226891e-7,-2.153332821256528e-7,-2.153332821256528e-4
plate1,A3,1-A2,6.92,-4.530906608037802e-6,-7.909174195419031e-7,-7.909174195419031e-4
plate1,A4,1-A3,6.7,-5.060791635548932e-7,-2.1616732817120307e-7,-2.1616732817120307e-4
plate1,A5,1-A4,7.08,-4.24445318491033e-6,-7.325840565116522e-7,-7.325840565116522e-4
plate1,A6,1-A5,9.07,-7.865347274085138e-7,-1.9060382167592956e-7,-1.9060382167592954e-4
plate1,B2,1-A6,9.08,-4.916855957745216e-6,-6.452750983411215e-7,-6.452750983411215e-4
plate1,B3,1-A7,9.18,-3.625320466972069e-6,-4.975558172292196e-7,-4.975558172292196e-4
plate1,B4,1-A8,7.279999999999999,-2.2733748153631128e-6,-4.417055976037473e-7,-4.4170559760374733e-4
plate1,B5,1-A9,9.69,-2.409183446795969e-6,-3.458643325065157e-7,-3.458643325065157e-4
plate1,B6,1-A10,9.6,-3.764155591759613e-6,-4.902497423908105e-7,-4.902497423908105e-4
plate1,C1,1-B1,8.54,-2.1891411501120243e-6,-3.6667249242437846e-7,-3.6667249242437847e-4
plate1,C2,1-B2,9.379999999999999,-2.4119501499115005e-6,-3.575897745313079e-7,-3.575897745313079e-4
plate1,C3,1-B3,8.83,-6.994588642535288e-6,-8.988483100484094e-7,-8.988483100484094e-4
plate1,C4,1-B4,7.78,-1.2135832996148587e-6,-2.770983592296949e-7,-2.770983592296949e-4
plate1,C6,1-B5,6.74,-2.0932534972995177e-6,-4.503702422094488e-7,-4.503702422094488e-4
plate1,D1,1-B6,9.370000000000001,-6.932513806640507e-7,-1.7454571140407875e-7,-1.7454571140407876e-4
plate1,D2,1-B7,6.48,-1.107230971128611e-6,-3.1627668307419417e-7,-3.1627668307419415e-4
plate1,D3,1-B8,7.5,-7.860784925438336e-7,-2.3044272369813347e-7,-2.3044272369813346e-4
plate1,D5,1-B9,4.55,-1.2009542318390333e-6,-4.710321246222419e-7,-4.710321246222419e-4
plate1,D6,1-B10,8.26,-3.5764680254244846e-6,-5.470593172659385e-7,-5.470593172659385e-4
plate2,A1,1-C1,6.37,-1.2861384107002352e-6,-2.7385433094937027e-7,-2.7385433094937026e-4
plate2,A2,1-C2,8.72,-3.6529550113280906e-6,-4.7147576706139266e-7,-4.7147576706139266e-4
plate2,A3,1-C3,7.48,-1.1398345555033808e-6,-2.1365618087575325e-7,-2.1365618087575326e-4
plate2,A4,1-C4,8.629999999999999,-1.0028179814202472e-6,-1.693084193357475e-7,-1.693084193357475e-4
plate2,A5,1-C5,8.379999999999999,-4.190109742441207e-6,-5.547044653804846e-7,-5.547044653804846e-4
plate2,B1,1-C6,6.989999999999999,-9.467393999504151e-7,-2.0100902394816434e-7,-2.0100902394816435e-4
plate2,B3,1-C7,9.09,-3.135309730724773e-6,-3.953381087097939e-7,-3.953381087097939e-4
plate2,B4,1-C8,7.32,-1.0188656515897917e-6,-2.0180045478648158e-7,-2.0180045478648159e-4
plate2,B5,1-C9,4.859999999999999,-6.465691862373546e-7,-2.2734215302152432e-7,-2.2734215302152433e-4
plate2,B6,1-C10,7.2299999999999995,-6.281937978379194e-7,-1.5027765909891743e-7,-1.5027765909891744e-4
plate2,C1,1-D1,7.66,-2.3218515053022115e-6,-3.629458463119406e-7,-3.629458463119406e-4
plate2,C2,1-D2,7.57,-1.1790048580988205e-6,-2.1629042741691862e-7,-2.1629042741691862e-4
plate2,C3,1-D3,7.37,-1.5634941329856597e-6,-2.7432941796918764e-7,-2.7432941796918766e-4
plate2,C5,1-D4,6.57,-2.1277902288188025e-6,-3.936231211972688e-7,-3.9362312119726876e-4
plate2,C6,1-D5,6.53,-5.398645220972466e-8,-7.845331235175775e-8,-7.845331235175776e-5
plate2,D2,1-D6,5.41,-6.158424372186538e-7,-1.9855011361661873e-7,-1.9855011361661872e-4
plate2,D3,1-D7,4.39,3.563333070306999e-7,-2.32301527144769e-8,-2.3230152714476897e-5
plate2,D4,1-D8,7.14,-2.432412496339565e-6,-4.048636097740643e-7,-4.048636097740643e-4
plate2,D5,1-D9,7.94,-2.322041814035423e-6,-3.501707168114202e-7,-3.501707168114202e-4
plate2,D6,1-D10,5.42,-1.3431815980629532e-6,-3.323792021236544e-7,-3.323792021236544e-4
plate3,A1,2-A1,8.6,-1.6158222735975138e-6,-2.420212864278702e-7,-2.4202128642787022e-4
plate3,A2,2-A2,9.41,-1.0257894191105247e-6,-1.5848567574842663e-7,-1.5848567574842663e-4
plate3,A4,2-A3,7.84,-2.927431564498065e-6,-4.327796370127851e-7,-4.3277963701278513e-4
plate3,A5,2-A4,7.55,-1.1480033361134341e-6,-2.1371710275438462e-7,-2.1371710275438463e-4
plate3,A6,2-A5,7.48,-5.594068094068098e-7,-1.3702775388890102e-7,-1.3702775388890103e-4
plate3,B2,2-A6,7.71,-4.778108442004119e-6,-6.801127408153423e-7,-6.801127408153423e-4
plate3,B3,2-A7,7.92,-3.5756951197485816e-6,-5.102595845240848e-7,-5.102595845240848e-4
plate3,B4,2-A8,8.25,-1.470858710624879e-6,-2.347175151887332e-7,-2.3471751518873318e-4
plate3,B5,2-A9,6.109999999999999,-4.056999351311331e-7,-1.4259586330823293e-7,-1.4259586330823292e-4
plate3,B6,2-A10,5.93,-1.5601157163896453e-6,-3.41598061732178e-7,-3.41598061732178e-4
plate3,C1,2-B1,7.84,-2.1589104116222753e-6,-3.3475397975822004e-7,-0.00033475397975822006
plate3,C2,2-B2,5.36,-2.1673572228442447e-7,-1.2729412536690193e-7,-1.2729412536690194e-4
plate3,C3,2-B3,7.67,-2.1692203879637315e-6,-3.4351775458225574e-7,-3.435177545822557e-4
plate3,C4,2-B4,7.78,-3.575513347541811e-6,-5.194182695660643e-7,-5.194182695660644e-4
plate3,C6,2-B5,9.58,-2.3164411371599906e-6,-2.9039686083947397e-7,-2.90396860839474e-4
plate3,D1,2-B6,7.34,-9.868901247965328e-7,-1.978815959780249e-7,-1.9788159597802492e-4
plate3,D2,2-B7,5.77,-1.2893634073374245e-6,-3.0414630797566626e-7,-3.041463079756663e-4
plate3,D3,2-B8,6.32,-2.172263908362481e-6,-4.173773256399764e-7,-4.1737732563997644e-4
plate4,A2,2-C1,8.59,-2.841717206924595e-6,-3.842582004640456e-7,-3.842582004640456e-4
plate4,A3,2-C2,8.57,-4.616394616689567e-9,-5.410468257622474e-8,-5.410468257622474e-5
plate4,A4,2-C3,7.2299999999999995,-8.434785691167186e-7,-1.8015758010764526e-7,-1.8015758010764526e-4
plate4,A5,2-C4,9.21,-3.7687490347490344e-6,-4.5904557761244195e-7,-4.59045577612442e-4
plate4,A6,2-C5,6.18,-1.007536197809519e-6,-2.3731341955842647e-7,-2.3731341955842648e-4
plate4,B1,2-C6,8.41,-1.002772067402406e-5,-1.2469419035773624e-6,-0.0012469419035773623
plate4,B2,2-C7,8.139999999999999,-1.670742608380195e-6,-2.616466023884216e-7,-2.6164660238842157e-4
plate4,B4,2-C8,9.83,-3.1363822264691854e-6,-3.6576225447922094e-07,-3.6576225447922095e-4
plate4,B5,2-C9,9.33,-4.705654986522914e-6,-5.535600987764705e-7,-5.535600987764705e-4
plate4,B6,2-C10,5.659999999999999,2.279391608550103e-7,-4.0834200389849155e-8,-4.083420038984915e-5
plate4,C1,2-D1,10.06,-1.614960409874242e-6,-2.0616512375107342e-7,-2.0616512375107342e-4
plate4,C2,2-D2,9.26,-2.4186251425142506e-6,-3.107652135611023e-7,-3.107652135611023e-4
plate4,C3,2-D3,7.99,-7.177161394971581e-7,-1.4728121083338103e-7,-1.4728121083338103e-4
plate4,C5,2-D4,6.640000000000001,-2.4334487183312913e-6,-4.3561889358326015e-7,-4.3561889358326015e-4
plate4,C6,2-D5,7.67,-7.33399265940687e-7,-1.5547066505896263e-7,-1.5547066505896263e-4
plate4,D1,2-D6,6.38,-7.114279343844574e-7,-1.8346217389435956e-7,-1.8346217389435956e-4
plate4,D2,2-D7,10.009999999999998,-2.9708107354478925e-6,-3.426445025483966e-7,-3.426445025483966e-4
plate4,D3,2-D8,8.86,-2.7988705488060318e-6,-3.6771233452230116e-7,-3.6771233452230116e-4
plate4,D4,2-D9,8.68,-4.536144456886895e-6,-5.754844691184852e-7,-5.754844691184852e-4
plate4,D5,2-D10,6.029999999999999,-1.465757748562798e-6,-3.192070453771732e-7,-3.192070453771732e-4
plate5,A1,1-E1,9.33,-9.528925434116448e-6,-1.0792756918913124e-6,-0.0010792756918913125
plate5,A2,1-E2,6.57,2.1997919907544766e-8,-7.895264099268676e-8,-7.895264099268676e-5
plate5,A3,1-E3,9.719999999999999,-2.1303309499489248e-6,-2.74799148269385e-7,-2.74799148269385e-4
plate5,A5,1-E4,6.8100000000000005,-1.4300346544840937e-6,-2.893908114116873e-7,-2.893908114116873e-4
plate5,A6,1-E5,7.84,-3.6972822119815665e-6,-5.405610947973294e-7,-5.405610947973294e-4
plate5,B1,1-E6,6.02,-2.0377675173145296e-6,-4.283196492598051e-7,-4.283196492598051e-4
plate5,B3,1-E7,6.949999999999999,6.815975485188962e-7,2.0270615437323646e-8,2.0270615437323646e-5
plate5,B4,1-E8,6.45,-1.506067619175245e-7,-1.0718194312356921e-7,-1.0718194312356921e-4
plate5,B5,2-E1,9.07,-6.978944785812688e-6,-8.290696314269222e-7,-8.290696314269221e-4
plate5,B6,2-E2,8.9,-2.6106330005872013e-6,-3.540842440243481e-7,-3.540842440243481e-4
plate5,C1,2-E3,5.590000000000001,-8.389584112886857e-7,-2.4681130277606126e-7,-2.4681130277606127e-4
plate5,C2,2-E4,6.02,1.3094327235833005e-7,-6.806868752012739e-8,-6.806868752012739e-5
plate5,C3,2-E5,4.6899999999999995,2.5342305104298163e-7,-6.125665675618661e-8,-6.125665675618661e-5
plate5,C4,2-E6,8.110000000000001,-2.1331814092953523e-6,-3.297038447009678e-7,-3.297038447009678e-4
plate5,C5,2-E7,6.17,-1.534678899082571e-6,-3.363688282515507e-7,-3.363688282515507e-4
